Rk,Season,Team,Comp,W,MP,W,D,L,Pts,Pts/MP,LgRank,Min,Subs,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm
434,2021-2022,Stuttgart,de Bundesliga,7,34,7,12,15,33,0.97,15th,3060,135,41,59,-18,50.7,4,11.8,39,1,3,2
435,2021-2022,Burnley,eng Premier League,7,38,7,14,17,35,0.92,18th,3420,96,34,53,-19,40.2,9,23.7,31,1,2,1
436,2021-2022,Salernitana,it Serie A,7,38,7,10,21,31,0.82,17th,3420,179,33,78,-45,41.2,2,5.3,28,4,5,1
437,2021-2022,Saint-Étienne,fr Ligue 1,7,38,7,11,20,32,0.84,18th,3420,185,42,77,-35,48.5,4,10.5,36,5,5,0
438,2020-2021,Torino,it Serie A,7,38,7,16,15,37,0.97,17th,3420,147,50,69,-19,47.3,8,21.1,44,5,6,1
439,2020-2021,Sheffield Utd,eng Premier League,7,38,7,2,29,23,0.61,20th,3420,103,20,63,-43,41.7,5,13.2,16,3,4,1
440,2020-2021,Benevento,it Serie A,7,38,7,12,19,33,0.87,18th,3420,178,40,75,-35,42.6,7,18.4,35,5,7,2
441,2020-2021,Werder Bremen,de Bundesliga,7,34,7,10,17,31,0.91,17th,3060,144,36,57,-21,43.9,6,17.6,30,5,5,0
442,2020-2021,Huesca,es La Liga,7,38,7,13,18,34,0.89,18th,3420,171,34,53,-19,48.3,9,23.7,29,3,4,1
443,2019-2020,Nîmes,fr Ligue 1,7,28,7,6,15,27,0.96,18th,2520,80,29,44,-15,45,7,25,27,2,2,0
444,2019-2020,Dijon,fr Ligue 1,7,28,7,9,12,30,1.07,16th,2520,82,27,37,-10,46.5,6,21.4,25,1,1,0
445,2019-2020,Celta Vigo,es La Liga,7,38,7,16,15,37,0.97,17th,3420,130,37,49,-12,51.7,12,31.6,31,6,9,3
446,2023-2024,Udinese,it Serie A,6,38,6,19,13,37,0.97,15th,3420,170,37,53,-16,39.3,9,23.7,33,3,4,1
447,2023-2024,Luton Town,eng Premier League,6,38,6,8,24,26,0.68,18th,3420,158,52,85,-33,42.4,2,5.3,44,5,5,0
448,2023-2024,Cádiz,es La Liga,6,38,6,15,17,33,0.87,18th,3420,186,26,55,-29,43.3,10,26.3,22,3,3,0
449,2022-2023,Southampton,eng Premier League,6,38,6,7,25,25,0.66,20th,3420,175,36,73,-37,44.5,4,10.5,34,2,4,2
450,2022-2023,Spezia,it Serie A,6,38,6,13,19,31,0.82,17th,3420,168,31,62,-31,47.4,6,15.8,25,4,4,0
451,2021-2022,Bordeaux,fr Ligue 1,6,38,6,13,19,31,0.82,20th,3420,182,52,91,-39,47.4,2,5.3,48,2,4,2
452,2021-2022,Watford,eng Premier League,6,38,6,5,27,23,0.61,19th,3420,106,34,77,-43,40.7,4,10.5,32,1,2,1
453,2021-2022,Venezia,it Serie A,6,38,6,9,23,27,0.71,20th,3420,183,34,69,-35,42.3,4,10.5,31,3,5,2
454,2021-2022,Cagliari,it Serie A,6,38,6,12,20,30,0.79,18th,3420,157,34,68,-34,44.5,3,7.9,31,3,4,1
455,2021-2022,Metz,fr Ligue 1,6,38,6,13,19,31,0.82,19th,3420,146,35,69,-34,42.9,8,21.1,32,1,1,0
456,2020-2021,Crotone,it Serie A,6,38,6,5,27,23,0.61,19th,3420,138,45,92,-47,46.3,3,7.9,35,9,9,0
457,2020-2021,Eibar,es La Liga,6,38,6,12,20,30,0.79,20th,3420,149,29,52,-23,49.3,9,23.7,25,4,9,5
458,2019-2020,Brescia,it Serie A,6,38,6,7,25,25,0.66,19th,3420,121,35,79,-44,40.6,6,15.8,30,4,4,0
459,2019-2020,Düsseldorf,de Bundesliga,6,34,6,12,16,30,0.88,17th,3060,115,36,67,-31,45.6,4,11.8,32,4,4,0
460,2023-2024,Burnley,eng Premier League,5,38,5,9,24,24,0.63,19th,3420,162,41,78,-37,47.4,2,5.3,37,3,3,0
461,2023-2024,Köln,de Bundesliga,5,34,5,12,17,27,0.79,17th,3060,160,28,60,-32,46.5,4,11.8,23,5,6,1
462,2023-2024,Clermont Foot,fr Ligue 1,5,34,5,10,19,25,0.74,18th,3060,156,26,60,-34,48.9,5,14.7,20,6,8,2
463,2022-2023,Elche,es La Liga,5,38,5,10,23,25,0.66,20th,3420,177,30,67,-37,45.5,4,10.5,26,4,5,1
464,2022-2023,Cremonese,it Serie A,5,38,5,12,21,27,0.71,19th,3420,185,36,69,-33,42.1,6,15.8,30,5,7,2
465,2021-2022,Norwich City,eng Premier League,5,38,5,7,26,22,0.58,20th,3420,114,23,84,-61,42.9,6,15.8,18,3,3,0
466,2021-2022,Arminia,de Bundesliga,5,34,5,13,16,28,0.82,17th,3060,150,27,53,-26,40.7,7,20.6,24,2,2,0
467,2020-2021,Valladolid,es La Liga,5,38,5,16,17,31,0.82,19th,3420,170,34,57,-23,45.2,3,7.9,27,7,8,1
468,2020-2021,West Brom,eng Premier League,5,38,5,11,22,26,0.68,19th,3420,104,35,76,-41,37.9,6,15.8,29,4,4,0
469,2020-2021,Fulham,eng Premier League,5,38,5,13,20,28,0.74,18th,3420,110,27,53,-26,49.7,9,23.7,23,3,6,3
470,2019-2020,Norwich City,eng Premier League,5,38,5,6,27,21,0.55,20th,3420,126,26,75,-49,49.3,5,13.2,23,2,2,0
471,2019-2020,SPAL,it Serie A,5,38,5,5,28,20,0.53,20th,3420,129,27,77,-50,46.9,3,7.9,22,5,7,2
472,2019-2020,Espanyol,es La Liga,5,38,5,10,23,25,0.66,20th,3420,130,27,58,-31,47.4,6,15.8,21,4,4,0
473,2023-2024,Granada,es La Liga,4,38,4,9,25,21,0.55,20th,3420,180,38,79,-41,45.6,3,7.9,30,5,8,3
474,2022-2023,Troyes,fr Ligue 1,4,38,4,12,22,24,0.63,19th,3420,141,45,81,-36,42.6,1,2.6,38,5,5,0
475,2022-2023,Angers,fr Ligue 1,4,38,4,6,28,18,0.47,20th,3420,157,33,81,-48,46.9,4,10.5,27,4,4,0
476,2021-2022,Genoa,it Serie A,4,38,4,16,18,28,0.74,19th,3420,179,27,60,-33,43.9,10,26.3,20,6,7,1
477,2020-2021,Dijon,fr Ligue 1,4,38,4,9,25,21,0.55,20th,3420,150,25,73,-48,46.2,6,15.8,22,3,5,2
478,2019-2020,Amiens,fr Ligue 1,4,28,4,11,13,23,0.82,19th,2520,83,31,50,-19,45.6,5,17.9,27,3,5,2
479,2019-2020,Paderborn 07,de Bundesliga,4,34,4,8,22,20,0.59,18th,3060,119,37,74,-37,45.9,5,14.7,35,2,4,2
480,2023-2024,Sheffield Utd,eng Premier League,3,38,3,7,28,16,0.42,20th,3420,152,35,104,-69,35.8,1,2.6,26,5,5,0
481,2023-2024,Darmstadt 98,de Bundesliga,3,34,3,8,23,17,0.5,18th,3060,163,30,86,-56,45.7,3,8.8,25,3,3,0
482,2023-2024,Almería,es La Liga,3,38,3,12,23,21,0.55,19th,3420,176,43,75,-32,46.4,6,15.8,40,2,2,0
483,2022-2023,Sampdoria,it Serie A,3,38,3,10,25,19,0.5,20th,3420,174,24,71,-47,46.1,4,10.5,22,1,2,1
484,2021-2022,Greuther Fürth,de Bundesliga,3,34,3,9,22,18,0.53,18th,3060,139,28,82,-54,43.6,6,17.6,21,5,5,0
485,2020-2021,Schalke 04,de Bundesliga,3,34,3,7,24,16,0.47,18th,3060,117,25,86,-61,44.7,4,11.8,24,0,3,3
486,2020-2021,Parma,it Serie A,3,38,3,11,24,20,0.53,20th,3420,167,39,83,-44,47.8,5,13.2,34,5,5,0
487,2019-2020,Toulouse,fr Ligue 1,3,28,3,4,21,13,0.46,20th,2520,82,22,58,-36,44.2,3,10.7,17,4,6,2
488,2023-2024,Salernitana,it Serie A,2,38,2,11,25,17,0.45,20th,3420,180,32,81,-49,44.5,2,5.3,30,2,2,0
