Rk,Season,Team,Comp,W,MP,W,D,L,Pts,Pts/MP,LgRank,Min,Subs,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm
316,2019-2020,Newcastle Utd,eng Premier League,11,38,11,11,16,44,1.16,13th,3420,118,38,58,-20,39,11,28.9,38,0,1,1
317,2019-2020,Eibar,es La Liga,11,38,11,9,18,42,1.11,14th,3420,128,39,56,-17,46.3,11,28.9,31,7,10,3
318,2019-2020,Strasbourg,fr Ligue 1,11,27,11,5,11,38,1.41,10th,2430,80,32,32,0,49.6,8,29.6,29,3,4,1
319,2019-2020,Cagliari,it Serie A,11,38,11,12,15,45,1.18,14th,3420,129,52,56,-4,45.7,7,18.4,46,4,6,2
320,2019-2020,Lyon,fr Ligue 1,11,28,11,7,10,40,1.43,7th,2520,81,42,27,15,56.2,9,32.1,37,5,6,1
321,2019-2020,Nantes,fr Ligue 1,11,28,11,4,13,37,1.32,13th,2520,71,28,31,-3,48,10,35.7,21,2,2,0
322,2019-2020,Monaco,fr Ligue 1,11,28,11,7,10,40,1.43,9th,2520,76,44,44,0,50.9,7,25,40,4,4,0
323,2023-2024,Las Palmas,es La Liga,10,38,10,10,18,40,1.05,16th,3420,177,33,47,-14,59.2,8,21.1,30,3,5,2
324,2023-2024,Augsburg,de Bundesliga,10,34,10,9,15,39,1.15,11th,3060,158,50,60,-10,43.9,3,8.8,44,5,7,2
325,2023-2024,Heidenheim,de Bundesliga,10,34,10,12,12,42,1.24,8th,3060,156,50,55,-5,42.5,6,17.6,44,2,3,1
326,2023-2024,Montpellier,fr Ligue 1,10,34,10,12,12,42,1.24,12th,3060,140,43,48,-5,44.6,10,29.4,34,7,7,0
327,2023-2024,Wolfsburg,de Bundesliga,10,34,10,7,17,37,1.09,12th,3060,155,41,56,-15,48,6,17.6,39,2,3,1
328,2023-2024,Getafe,es La Liga,10,38,10,13,15,43,1.13,12th,3420,171,42,54,-12,44.8,10,26.3,36,6,7,1
329,2023-2024,Sevilla,es La Liga,10,38,10,11,17,41,1.08,14th,3420,168,48,54,-6,50.3,8,21.1,44,2,2,0
330,2023-2024,Strasbourg,fr Ligue 1,10,34,10,9,15,39,1.15,13th,3060,141,38,50,-12,44.3,5,14.7,33,3,4,1
331,2023-2024,Brentford,eng Premier League,10,38,10,9,19,39,1.03,16th,3420,170,56,65,-9,45.2,7,18.4,51,3,3,0
